"container","dest","src","local_size","remote_size","result","run_at"
"pbcc-jsonbin","index_ward_epc_dom_2026-09-03.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_ward_epc_dom_2026-09-03.json.gz",88530,88530,"uploaded","2026-09-03 12:46:47"
"pbcc-jsonbin","data_ward_epc_dom_2026-09-03.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_ward_epc_dom_2026-09-03.bin",7601859,7601859,"uploaded","2026-09-03 12:46:47"
"pbcc-jsonbin","index_parish_epc_dom_2026-09-03.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_parish_epc_dom_2026-09-03.json.gz",130291,130291,"uploaded","2026-09-03 12:46:47"
"pbcc-jsonbin","data_parish_epc_dom_2026-09-03.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_parish_epc_dom_2026-09-03.bin",10068576,10068576,"uploaded","2026-09-03 12:46:47"
"pbcc-jsonbin","index_la_epc_dom_2026-09-03.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_la_epc_dom_2026-09-03.json.gz",4279,4279,"uploaded","2026-09-03 12:46:47"
"pbcc-jsonbin","data_la_epc_dom_2026-09-03.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_la_epc_dom_2026-09-03.bin",375059,375059,"uploaded","2026-09-03 12:46:47"
"pbcc-jsonbin","index_constituency_epc_dom_2026-09-03.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_constituency_epc_dom_2026-09-03.json.gz",7233,7233,"uploaded","2026-09-03 12:46:47"
"pbcc-jsonbin","data_constituency_epc_dom_2026-09-03.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_constituency_epc_dom_2026-09-03.bin",669257,669257,"uploaded","2026-09-03 12:46:47"
