"container","dest","src","local_size","remote_size","result","run_at"
"pbcc-jsonbin","data_parish_prices_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_parish_prices_2026-09-02.bin",5567063,5567063,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","index_parish_pt_frequency_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_parish_pt_frequency_2026-09-02.json.gz",124012,124012,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_parish_pt_frequency_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_parish_pt_frequency_2026-09-02.bin",8030414,8030414,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","index_parish_vehicle_summary_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_parish_vehicle_summary_2026-09-02.json.gz",139943,139943,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_parish_vehicle_summary_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_parish_vehicle_summary_2026-09-02.bin",10786332,10786332,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","index_ward_access_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_ward_access_2026-09-02.json.gz",101863,101863,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_ward_access_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_ward_access_2026-09-02.bin",58791450,58791450,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","index_ward_community_pics_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_ward_community_pics_2026-09-02.json.gz",87389,87389,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_ward_community_pics_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_ward_community_pics_2026-09-02.bin",1695813,1695813,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","index_ward_emissions_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_ward_emissions_2026-09-02.json.gz",91069,91069,"uploaded","2026-09-02 23:36:00"
